decision_id,company_name,drug_brand,decision_date,application_number,crosscheck_status,openfda_sponsor_name,openfda_brand_name,openfda_decision_date,openfda_source_url,detail
D346,AbbVie Inc.,Orilissa,2018-07-23,210450,MATCH,ABBVIE,ORILISSA,2018-07-23,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=210450,"date, brand and sponsor all agree with openFDA"
D345,Fresenius Kabi (Fresenius group),Omegaven,2018-07-27,210589,MATCH,FRESENIUS KABI USA,OMEGAVEN,2018-07-27,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=210589,"date, brand and sponsor all agree with openFDA"
D344,"Shionogi & Co., Ltd. (Japan)",Mulpleta,2018-07-31,210923,MATCH_DATE_ONLY,VANCOCIN ITALIA,MULPLETA,2018-07-31,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=210923,"date and brand agree; sponsor wording differs (master 'Shionogi & Co., Ltd. (Japan)' vs openFDA 'VANCOCIN ITALIA') — ownership change or legal-entity name"
D343,"Kyowa Kirin Co., Ltd.",Poteligeo,2018-08-08,761051,MATCH,KYOWA KIRIN,POTELIGEO,2018-08-08,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761051,"date, brand and sponsor all agree with openFDA"
D340,"Amicus Therapeutics, Inc.",Galafold,2018-08-10,208623,MATCH,AMICUS THERAP US,GALAFOLD,2018-08-10,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=208623,"date, brand and sponsor all agree with openFDA"
D341,Mayne Pharma Group Limited,Annovera,2018-08-10,209627,MATCH,MAYNE PHARMA,ANNOVERA,2018-08-10,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=209627,"date, brand and sponsor all agree with openFDA"
D342,"Alnylam Pharmaceuticals, Inc.",Onpattro,2018-08-10,210922,MATCH,ALNYLAM PHARMS INC,ONPATTRO,2018-08-10,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=210922,"date, brand and sponsor all agree with openFDA"
D339,Laboratoires Biocodex,Diacomit,2018-08-20,206709,MATCH,BIOCODEX SA,DIACOMIT,2018-08-20,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=206709,"date, brand and sponsor all agree with openFDA"
D338,Dompe Farmaceutici S.p.A.,Oxervate,2018-08-22,761094,MATCH,DOMPE FARMACEUTICI,OXERVATE,2018-08-22,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761094,"date, brand and sponsor all agree with openFDA"
D337,Shire plc (acquired by Takeda 2019),Takhzyro,2018-08-23,761090,MATCH_DATE_ONLY,DYAX CORP.,TAKHZYRO,2018-08-23,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761090,date and brand agree; sponsor wording differs (master 'Shire plc (acquired by Takeda 2019)' vs openFDA 'DYAX CORP.') — ownership change or legal-entity name
