capture_id,capture_date,system,subject,url,finding_summary,project_table_affected,project_row_ids,project_effect,verbatim_evidence_ref
V19-C01,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),1977 ORIG/AP year population re-query,https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19770101+TO+19771231%5D&limit=1,"meta.results.total = 662 application records; first record ANDA085911 (OXYCODONE 5/APAP 500, BRISTOL MYERS SQUIBB) with ORIG-1/AP/19771025. Live total equals the manifest n_raw_records (662) for 1977.",pre1980_fda_decisions.csv,PRE1980-1977-* (population-level),confirms the committed 1977 payload population live,data/raw/source_captures_2026_09_19/live_primary_captures_v19_2026_09_19.json
V19-C02,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),1978 ORIG/AP year population re-query,https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19780101+TO+19781231%5D&limit=1,"meta.results.total = 756 application records; first record ANDA085034 (ALPHAZINE, PHENDIMETRAZINE TARTRATE 35MG, SANDOZ) with ORIG-1/AP/19780419. Live total equals the manifest n_raw_records (756) for 1978.",pre1980_fda_decisions.csv,PRE1980-1978-* (population-level),confirms the committed 1978 payload population live,data/raw/source_captures_2026_09_19/live_primary_captures_v19_2026_09_19.json
V19-C03,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),1979 ORIG/AP year population re-query,https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19790101+TO+19791231%5D&limit=1,meta.results.total = 746 application records; first record NDA017385 (BAXTER PLASMA-LYTE line) with 20+ SUPPL submissions (chunk 0 of 3). Live total equals the manifest n_raw_records (746) for 1979.,pre1980_fda_decisions.csv,PRE1980-1979-* (population-level),confirms the committed 1979 payload population live,data/raw/source_captures_2026_09_19/live_primary_captures_v19_2026_09_19.json
V19-C04,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),NDA017920 TAGAMET - ORIG/AP/exact-date coexistence probe,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017920%22+AND+submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19770816+TO+19770816%5D&limit=1,"total=1: application NDA017920 coexists live with an ORIG submission, an AP status, and a 19770816 status date. The record carries ~90 supplements (4 chunks); the ORIG block itself falls below chunk 0, so the exact ORIG-1 row is verified against Drugs@FDA instead (V19-C10). Flattened-semantics caveat recorded.",pre1980_fda_decisions.csv,PRE1980-1977-07,live coexistence corroboration; exact row verified via V19-C10,data/raw/source_captures_2026_09_19/live_primary_captures_v19_2026_09_19.json
V19-C05,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),BLA101063 ELSPAR - verbatim ORIG block,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22BLA101063%22+AND+submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19780110+TO+19780110%5D&limit=1,"total=1 with the complete ORIG block inside the single returned chunk: ORIG-1/AP/19780110, review_priority UNKNOWN, TYPE 1 - New Molecular Entity; sponsor MERCK; product ELSPAR (ASPARAGINASE 10,000IU/VIAL). Fully verifies the committed extraction for this row.",pre1980_fda_decisions.csv,PRE1980-1978-01,row fully verified live,data/raw/source_captures_2026_09_19/live_primary_captures_v19_2026_09_19.json
V19-C06,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),NDA017970 NOLVADEX - ORIG/AP/exact-date coexistence probe,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017970%22+AND+submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19771230+TO+19771230%5D&limit=1,"total=1: application NDA017970 coexists live with an ORIG submission, an AP status, and a 19771230 status date. ~50 supplements (4 chunks); ORIG block below chunk 0. Flattened-semantics caveat recorded; precise linkage from the committed full-record extraction.",pre1980_fda_decisions.csv,PRE1980-1977-17,live coexistence corroboration,data/raw/source_captures_2026_09_19/live_primary_captures_v19_2026_09_19.json
V19-C07,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),NDA017744 MOTOFEN - verbatim TYPE 1/4 ORIG block,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017744%22+AND+submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19780714+TO+19780714%5D&limit=1,"total=1 with the ORIG block at the end of chunk 0: ORIG-1/AP/19780714, STANDARD, TYPE 1/4 - 'Type 1 - New Molecular Entity and Type 4 - New Combination'. Confirms the committed classification boundary row live; this row is the +1 in the 1978 PROJECT_EXCEEDS_OFFICIAL verdict.",pre1980_fda_decisions.csv,PRE1980-1978-08,row fully verified live; anchors the 1978 +1 classification note,data/raw/source_captures_2026_09_19/live_primary_captures_v19_2026_09_19.json
V19-C08,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),NDA050508 CYCLAPEN-W suspension - verbatim TYPE 1 ORIG block,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050508%22+AND+submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19790914+TO+19790914%5D&limit=1,"total=1, single chunk: ORIG-1/AP/19790914, STANDARD, TYPE 1; sponsor WYETH AYERST; three CYCLAPEN-W (CYCLACILLIN) FOR SUSPENSION products (125/250/500MG per 5ML). Fully verifies the committed extraction; the NME side of the Cyclapen pair.",pre1980_fda_decisions.csv,PRE1980-1979-07,row fully verified live; NME side of the flagged Cyclapen inversion,data/raw/source_captures_2026_09_19/live_primary_captures_v19_2026_09_19.json
V19-C09,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),NDA017624 FORANE - verbatim TYPE 1 ORIG block,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017624%22+AND+submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19791218+TO+19791218%5D&limit=1,"total=1 with the ORIG block inside chunk 0: ORIG-1/AP/19791218, PRIORITY, TYPE 1 - New Molecular Entity. Fully verifies the committed extraction for this row.",pre1980_fda_decisions.csv,PRE1980-1979-12,row fully verified live,data/raw/source_captures_2026_09_19/live_primary_captures_v19_2026_09_19.json
V19-C10,2026-09-19,FDA Drugs@FDA application-history page (accessdata.fda.gov),NDA017920 TAGAMET - live Drugs@FDA original-approval row,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017920,"Page header: 'New Drug Application (NDA): 017920', 'Company: GLAXOSMITHKLINE'. Original Approvals table carries exactly one row: 08/16/1977 | ORIG-1 | Approval | Type 1 - New Molecular Entity | PRIORITY. Products: TAGAMET (CIMETIDINE) 200/300/400/800MG TABLET/ORAL, Discontinued, RLD Yes. Cross-system confirmation of the openFDA payload on the second FDA system.",pre1980_fda_decisions.csv,PRE1980-1977-07,row fully verified live on the second FDA system,data/raw/source_captures_2026_09_19/live_primary_captures_v19_2026_09_19.json
