company_name,ticker,exchange,us_investable_class,phase3_trials_tracked_2026_2027,phase3_active_or_recruiting,phase3_completed,phase3_paused_or_terminated,deep_dive_pipeline_programs,advanced_to_next_phase_count,paused_or_clinical_hold_count,clinical_progression_rate_pct,novel_nme_approvals,original_non_nme_approvals,label_expansions_approved,crl_rejections_tracked,total_fda_decisions_tracked,fda_approval_rate_pct,composite_clinical_score_0_100,success_grade,source_url_1,source_url_2,verification_status,notes
Genzyme (acquired by Sanofi 2011),GENZ,"formerly NASDAQ:GENZ, delisted Apr-2011 into Sanofi",FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,4,0,0,,8,0,0,0,8,100.0,86.5,A,https://web.archive.org/web/20110614054533if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/UCM242677.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 8 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Shire plc (acquired by Takeda 2019),SHPG,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,6,0,0,,6,0,2,0,6,100.0,82.9,A,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761090,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 6 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 2 label expansion(s)"
Alexion Pharmaceuticals (acquired by AstraZeneca 2021),ALXN,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),6,6,0,0,4,0,0,,4,0,13,0,4,100.0,81.1,A,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761108,https://clinicaltrials.gov/study/NCT06724809,Verified - Phase 3 Registry + FDA Outcomes,"6 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (6 active, 0 completed) | Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 4 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 13 label expansion(s)"
Vertex Pharmaceuticals Incorporated,VRTX,NASDAQ,US-LISTED,4,4,0,0,18,9,1,90.0,7,3,34,0,7,100.0,79.6,B,https://www.vrtx.com/pipeline,https://web.archive.org/web/20190207172014/http://wayback.archive-it.org/7993/20170112022004/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm285489.htm,Verified - Deep-Dive Pipeline & FDA Record,"4 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (4 active, 0 completed) | Pipeline progression: 9 advanced, 1 paused/on hold | FDA outcomes: 7 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 3 original non-NME approval(s) | 34 label expansion(s)"
Genentech (acquired by Roche 2009),DNA,,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,5,0,0,,8,0,0,0,8,100.0,79.3,B,https://web.archive.org/web/20130217050942/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm336115.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 8 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Schering-Plough (acquired by Merck 2009),SGP,,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,3,0,0,,10,0,0,0,10,100.0,79.0,B,https://web.archive.org/web/20090709174614/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081673.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 10 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Cubist Pharmaceuticals (acquired by Merck 2015),CBST,NASDAQ (delisted Jan 2015),US-LISTED,0,0,0,0,3,0,0,,3,2,17,0,3,100.0,77.2,B,https://web.archive.org/web/20190207172014/https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm429249.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 3 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 2 original non-NME approval(s) | 17 label expansion(s)"
Orphan Medical (acquired by Jazz 2005),ORPH,NASDAQ,US-LISTED,0,0,0,0,1,0,0,,4,0,0,0,4,100.0,75.3,B,https://web.archive.org/web/20090709174607/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081683.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 4 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Pharmacia (acquired by Pfizer 2003),PGE?,,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,5,0,0,,5,0,0,0,5,100.0,75.0,B,https://web.archive.org/web/20090709174608/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081680.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 5 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
TAP Pharmaceutical Products (Takeda/Abbott JV),4502,TSE,NON-US LISTING ONLY,0,0,0,0,5,0,0,,9,0,0,0,9,100.0,74.6,B,https://web.archive.org/web/20140327204457/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm381263.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 9 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
