company_name,ticker,total_programs,approved,phase_3,phase_2,phase_1,preclinical,paused_hold,advanced_next_phase,success_rate_pct,source_url_1,verification_status,notes
"Pfizer Inc.",PFE,45,31,8,4,2,0,3,28,86.1,https://www.pfizer.com/science/drug-product-pipeline,Verified - deep-dive pipeline,"36 tracked FDA decisions in master (31 approvals / 5 CRLs or withdrawals flagged). Pipeline: 45 programs, 31 approved, 8 Phase 3, 4 Phase 2, 2 Phase 1. Advanced 28 to next phase, 3 paused/hold. Success rate 86.1% raw, shrunk 92.9% (k=3, p0=90.6%)."
"Eli Lilly and Company",LLY,38,28,6,3,1,0,2,22,84.8,https://www.lilly.com/discovery/clinical-development-pipeline,Verified - deep-dive pipeline,"28 approvals tracked. Pipeline 38 programs, 6 Phase 3 (donanemab expansions, tirzepatide indications, etc.), 3 Phase 2, 1 Phase 1. Advanced 22, paused 2."
"Bristol Myers Squibb",BMY,42,26,9,5,2,0,4,19,78.8,https://www.bms.com/researchers-and-partners/in-the-pipeline.html,Verified - deep-dive pipeline,"26 approvals, 9 Phase 3, 5 Phase 2. Advanced 19, paused 4. Includes Cobenfy Sep 2024 approval (-1.94% day-of, slight dip market noise)."
"Novartis AG",NVS,48,32,10,4,2,0,3,24,82.1,https://www.novartis.com/research-development/novartis-pipeline,Verified - deep-dive pipeline,"32 approvals tracked (ADR). Pipeline 48 programs, 10 Phase 3, 4 Phase 2. Advanced 24, paused 3. Strong oncology and cardiovascular portfolio."
"Roche Holding AG (Genentech)",RHHBY,52,36,11,3,2,0,2,28,88.9,https://www.roche.com/research_and_development/our_pipeline.htm,Verified - deep-dive pipeline,"36 approvals tracked (Genentech + Roche). Pipeline 52 programs, 11 Phase 3, 3 Phase 2. Advanced 28, paused 2. Top score 87.6/100."
"AstraZeneca PLC",AZN,44,30,8,4,2,0,3,22,81.1,https://www.astrazeneca.com/our-therapy-areas/pipeline.html,Verified - deep-dive pipeline,"30 approvals tracked (including MedImmune). Pipeline 44 programs, 8 Phase 3, 4 Phase 2. Advanced 22, paused 3. Score 87.3/100."
"Johnson & Johnson",JNJ,40,24,9,5,2,0,3,18,77.4,https://www.jnj.com/innovation/pipeline,Verified - deep-dive pipeline,"24 approvals tracked. Pipeline 40 programs, 9 Phase 3, 5 Phase 2. Advanced 18, paused 3. Large diversified portfolio, muted stock moves given size."
"Merck & Co., Inc.",MRK,36,22,8,4,2,0,2,16,78.6,https://www.merck.com/research/pipeline/,Verified - deep-dive pipeline,"22 approvals tracked. Pipeline 36 programs, 8 Phase 3 (Keytruda expansions, Winrevair follow-ons), 4 Phase 2. Advanced 16, paused 2. Winrevair approval Mar 26 2024 +1.18% day-of."
"AbbVie Inc.",ABBV,34,20,7,5,2,0,4,14,71.4,https://www.abbvie.com/science/pipeline.html,Verified - deep-dive pipeline,"20 approvals tracked, includes 1 CRL (Trenibotulinumtoxin E Apr 2026 facility/GMP). Pipeline 34 programs, 7 Phase 3, 5 Phase 2. Advanced 14, paused 4."
"Gilead Sciences",GILD,32,18,7,5,2,0,3,12,75.0,https://www.gilead.com/science-and-medicine/pipeline,Verified - deep-dive pipeline,"18 approvals tracked, includes Livdelzi accelerated Aug 2024. Pipeline 32 programs, 7 Phase 3, 5 Phase 2. Advanced 12, paused 3. Livdelzi -1.36% day-of (large-cap muted)."
"Amgen Inc.",AMGN,30,19,6,3,2,0,2,13,79.2,https://www.amgen.com/science/pipeline,Verified - deep-dive pipeline,"19 approvals tracked, includes Imdelltra accelerated May 2024 (+2.45%). Pipeline 30 programs, 6 Phase 3, 3 Phase 2. Advanced 13, paused 2."
"Vertex Pharmaceuticals",VRTX,18,12,4,2,0,0,1,9,85.7,https://www.vrtx.com/pipeline,Verified - deep-dive pipeline,"12 approvals tracked (Kalydeco Jan 2012, Incivek May 2011, etc.). Pipeline 18 programs, 4 Phase 3, 2 Phase 2. Advanced 9, paused 1. Score 85.1/100."
"Regeneron Pharmaceuticals",REGN,22,14,5,2,1,0,2,10,77.8,https://www.regeneron.com/pipeline,Verified - deep-dive pipeline,"14 approvals tracked, 5 CRLs in full 458 file (largest). Pipeline 22 programs, 5 Phase 3, 2 Phase 2. Advanced 10, paused 2. Eylea Nov 2011 approval major."
"Biogen Inc.",BIIB,20,11,5,3,1,0,4,7,64.7,https://www.biogen.com/pipeline,Verified - deep-dive pipeline,"11 approvals tracked, includes Aduhelm accelerated Jun 2021 controversial. Pipeline 20 programs, 5 Phase 3 (lecanemab follow-ons, etc.), 3 Phase 2. Advanced 7, paused 4. Leqembi Jan 2023 traditional approval after accelerated."
"Geron Corporation",GERN,6,2,2,1,1,0,1,2,50.0,https://www.geron.com/r-d/pipeline/,Verified,"2 approvals tracked (Rytelo Jun 6 2024 +0.25% day-of). Pipeline 6 programs, 2 Phase 3, 1 Phase 2, 1 Phase 1. Advanced 2, paused 1. Small-cap biotech, higher volatility."
"Madrigal Pharmaceuticals",MDGL,4,1,1,1,1,0,0,1,100.0,https://www.madrigalpharma.com/pipeline/,Verified,"1 approval tracked (Rezdiffra Mar 14 2024 accelerated, first MASH approval +3.93% day-of, - retracement next day). Pipeline 4 programs, 1 Phase 3 (confirmatory), 1 Phase 2, 1 Phase 1. Advanced 1."
"Capricor Therapeutics",CAPR,5,1,2,1,1,0,1,2,50.0,https://www.capricor.com/pipeline/,Verified - CRL then resubmission,"1 approval tracked, 1 CRL Jul 1 2025 (Deramiocel insufficient efficacy + CMC, shares fell sharply). Resubmitted, new PDUFA Aug 22 2026. Pipeline 5 programs, 2 Phase 3, 1 Phase 2, 1 Phase 1. Advanced 2, paused 1."
"Aldeyra Therapeutics",ALDX,8,0,1,3,2,0,2,1,0.0,https://www.aldeyra.com/pipeline/,Verified - FLAGGED IRREGULARITY - 3 CRLs same indication,"0 approvals, 3 CRLs for Reproxalap dry eye disease (third Mar 17 2026, stock collapsed ~70% intraday to $1.24-1.81). Securities-fraud litigation filed alleging prior disclosures overstated regulatory prospects. Pipeline 8 programs, 1 Phase 3, 3 Phase 2, 2 Phase 1. Advanced 1, paused 2. Score E (lowest)."
