sponsor_key,resolved_company,sec_title,ticker,exchange,us_investable_class,basis
abbvie,AbbVie Inc.,AbbVie Inc.,ABBV,NYSE,US-LISTED,SEC company_tickers.json exact title match
abbvie inc,AbbVie Inc.,AbbVie Inc.,ABBV,NYSE,US-LISTED,SEC company_tickers.json exact title match
novartis,Novartis AG,NOVARTIS AG,NVS,NYSE,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
novartis pharmaceuticals,Novartis AG,NOVARTIS AG,NVS,NYSE,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
sandoz,Sandoz Group AG,,,SIX,NON-US LISTING ONLY,Spun off from Novartis 2023; lists on SIX Swiss Exchange only; no SEC registrant entry
bausch,Bausch Health Companies Inc.,Bausch Health Companies Inc.,BHC,NYSE,US-LISTED,SEC company_tickers.json exact title match
bausch and lomb,Bausch + Lomb Corporation,Bausch & Lomb Corp,BLCO,NYSE,US-LISTED,SEC company_tickers.json exact title match
bausch and lomb inc,Bausch + Lomb Corporation,Bausch & Lomb Corp,BLCO,NYSE,US-LISTED,SEC company_tickers.json exact title match
bausch lomb ireland,Bausch + Lomb Corporation,Bausch & Lomb Corp,BLCO,NYSE,US-LISTED,SEC company_tickers.json exact title match
bayer hlthcare,Bayer AG,,,XETRA,NON-US LISTING ONLY,Bayer AG is not an SEC registrant in company_tickers.json; ordinary shares trade on XETRA
bayer healthcare llc,Bayer AG,,,XETRA,NON-US LISTING ONLY,Bayer AG is not an SEC registrant in company_tickers.json; ordinary shares trade on XETRA
bayer pharms,Bayer AG,,,XETRA,NON-US LISTING ONLY,Bayer AG is not an SEC registrant in company_tickers.json; ordinary shares trade on XETRA
bayer,Bayer AG,,,XETRA,NON-US LISTING ONLY,Bayer AG is not an SEC registrant in company_tickers.json; ordinary shares trade on XETRA
bristol myers squibb,Bristol-Myers Squibb Company,BRISTOL MYERS SQUIBB CO,BMY,NYSE,US-LISTED,SEC company_tickers.json exact title match
bristol-myers,Bristol-Myers Squibb Company,BRISTOL MYERS SQUIBB CO,BMY,NYSE,US-LISTED,SEC company_tickers.json exact title match
takeda pharms usa,Takeda Pharmaceutical Company Limited,TAKEDA PHARMACEUTICAL CO LTD,TAK,NYSE,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
takeda pharms na,Takeda Pharmaceutical Company Limited,TAKEDA PHARMACEUTICAL CO LTD,TAK,NYSE,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
cosette,Cosette Pharmaceuticals Inc.,,,,PRIVATE / NO EQUITY,Privately held US specialty generics company; no SEC registrant entry
haleon us holdings,Haleon plc,Haleon plc,HLN,NYSE,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
janssen pharms,Johnson & Johnson,JOHNSON & JOHNSON,JNJ,NYSE,US-LISTED,Janssen Pharmaceuticals is a wholly owned J&J subsidiary; parent is the listed issuer
janssen research and development,Johnson & Johnson,JOHNSON & JOHNSON,JNJ,NYSE,US-LISTED,Wholly owned J&J subsidiary; parent is the listed issuer
ortho mcneil janssen,Johnson & Johnson,JOHNSON & JOHNSON,JNJ,NYSE,US-LISTED,Ortho-McNeil-Janssen was a J&J subsidiary; parent is the listed issuer
centocor ortho biotech inc,Johnson & Johnson,JOHNSON & JOHNSON,JNJ,NYSE,US-LISTED,Centocor Ortho Biotech was a J&J subsidiary; parent is the listed issuer
scios llc,Johnson & Johnson,JOHNSON & JOHNSON,JNJ,NYSE,US-LISTED,Scios acquired by Johnson & Johnson in 2003; parent is the listed issuer
orapharma,Johnson & Johnson,JOHNSON & JOHNSON,JNJ,NYSE,US-LISTED,OraPharma was a J&J subsidiary at approval; later divested
astrazeneca,AstraZeneca PLC,ASTRAZENECA PLC,AZN,NASDAQ,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
astrazeneca ab,AstraZeneca PLC,ASTRAZENECA PLC,AZN,NASDAQ,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
pfizer,Pfizer Inc.,PFIZER INC,PFE,NYSE,US-LISTED,SEC company_tickers.json exact title match
pf prism cv,Pfizer Inc.,PFIZER INC,PFE,NYSE,US-LISTED,PF PRISM C.V. is a Pfizer holding entity; parent is the listed issuer
king pharms,Pfizer Inc.,PFIZER INC,PFE,NYSE,US-LISTED,King Pharmaceuticals acquired by Pfizer in 2011; parent is the listed issuer
king pharms llc,Pfizer Inc.,PFIZER INC,PFE,NYSE,US-LISTED,King Pharmaceuticals acquired by Pfizer in 2011; parent is the listed issuer
king pfizer,Pfizer Inc.,PFIZER INC,PFE,NYSE,US-LISTED,King Pharmaceuticals acquired by Pfizer in 2011; parent is the listed issuer
wyeth pharms,Pfizer Inc.,PFIZER INC,PFE,NYSE,US-LISTED,Wyeth acquired by Pfizer in 2009; parent is the listed issuer
wyeth pharms inc,Pfizer Inc.,PFIZER INC,PFE,NYSE,US-LISTED,Wyeth acquired by Pfizer in 2009; parent is the listed issuer
wyeth-ayerst,Pfizer Inc.,PFIZER INC,PFE,NYSE,US-LISTED,Wyeth-Ayerst became Wyeth; acquired by Pfizer in 2009
pharmacia,Pfizer Inc.,PFIZER INC,PFE,NYSE,US-LISTED,Pharmacia acquired by Pfizer in 2003; parent is the listed issuer
pharmacia and upjohn,Pfizer Inc.,PFIZER INC,PFE,NYSE,US-LISTED,Pharmacia & Upjohn acquired by Pfizer in 2003
pharmacia upjohn,Pfizer Inc.,PFIZER INC,PFE,NYSE,US-LISTED,Pharmacia & Upjohn acquired by Pfizer in 2003
upjohn,Viatris Inc,Viatris Inc,VTRS,NASDAQ,US-LISTED,Pfizer Upjohn business combined with Mylan to form Viatris in 2020
gd searle,Pfizer Inc.,PFIZER INC,PFE,NYSE,US-LISTED,G.D. Searle became part of Pharmacia; acquired by Pfizer in 2003
parke davis,Pfizer Inc.,PFIZER INC,PFE,NYSE,US-LISTED,Parke-Davis was a Warner-Lambert division; acquired by Pfizer in 2000
galderma labs lp,Galderma Group AG,Galderma Group AG/ADR,GALDY,OTC,US-LISTED (ADR),"SEC company_tickers.json exact title match; primary listing SIX, US ADR"
lilly,Eli Lilly and Company,ELI LILLY & Co,LLY,NYSE,US-LISTED,SEC company_tickers.json exact title match
eli lilly,Eli Lilly and Company,ELI LILLY & Co,LLY,NYSE,US-LISTED,SEC company_tickers.json exact title match
boehringer ingelheim,Boehringer Ingelheim GmbH,,,,PRIVATE / NO EQUITY,Family-owned German company; no publicly traded equity
boehringer ingelheim pharmaceuticals,Boehringer Ingelheim GmbH,,,,PRIVATE / NO EQUITY,Family-owned German company; no publicly traded equity
ucb inc,UCB S.A.,,,Euronext Brussels,NON-US LISTING ONLY,UCB S.A. lists on Euronext Brussels; no SEC registrant entry
viatris,Viatris Inc,Viatris Inc,VTRS,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
mylan ireland ltd,Viatris Inc,Viatris Inc,VTRS,NASDAQ,US-LISTED,Mylan combined with Pfizer Upjohn to form Viatris in 2020
sanofi aventis us,Sanofi,Sanofi,SNY,NASDAQ,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
sanofi,Sanofi,Sanofi,SNY,NASDAQ,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
sanofi synthelabo,Sanofi,Sanofi,SNY,NASDAQ,US-LISTED (ADR),Sanofi-Synthelabo became Sanofi; ADR listed
chattem sanofi,Sanofi,Sanofi,SNY,NASDAQ,US-LISTED (ADR),Chattem acquired by Sanofi in 2010; parent is the listed issuer
genzyme,Sanofi,Sanofi,SNY,NASDAQ,US-LISTED (ADR),Genzyme acquired by Sanofi in 2011; parent is the listed issuer
endo operations,Endo Inc.,,,,NOT US-INVESTABLE (UNVERIFIED),Endo emerged from Chapter 11 in 2024 as Endo Inc.; no confirmed SEC company_tickers.json entry
allergan,AbbVie Inc.,AbbVie Inc.,ABBV,NYSE,US-LISTED,Allergan plc acquired by AbbVie in May 2020; parent is the listed issuer
forest labs,AbbVie Inc.,AbbVie Inc.,ABBV,NYSE,US-LISTED,Forest Laboratories acquired by Actavis/Allergan 2014; Allergan acquired by AbbVie 2020
genentech,Roche Holding AG,,,SIX,NON-US LISTING ONLY,"Genentech wholly owned by Roche since 2009; Roche lists on SIX, no SEC registrant entry"
roche,Roche Holding AG,,,SIX,NON-US LISTING ONLY,Roche Holding AG lists on SIX Swiss Exchange; no SEC registrant entry
hoffmann-la roche,Roche Holding AG,,,SIX,NON-US LISTING ONLY,Roche Holding AG lists on SIX Swiss Exchange; no SEC registrant entry
novo nordisk inc,Novo Nordisk A/S,NOVO NORDISK A S,NVO,NYSE,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
novo nordisk,Novo Nordisk A/S,NOVO NORDISK A S,NVO,NYSE,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
kenvue brands,Kenvue Inc.,Kenvue Inc.,KVUE,NYSE,US-LISTED,SEC company_tickers.json exact title match
azurity,Azurity Pharmaceuticals Inc.,,,,PRIVATE / NO EQUITY,Privately held; no SEC registrant entry
cheplapharm,CHEPLAPHARM Arzneimittel GmbH,,,,PRIVATE / NO EQUITY,Privately held German company; no SEC registrant entry
b braun,B. Braun SE,,,,PRIVATE / NO EQUITY,Family-owned German company; no publicly traded equity
teva branded pharm,Teva Pharmaceutical Industries Ltd,TEVA PHARMACEUTICAL INDUSTRIES LTD,TEVA,NYSE,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
teva pharms,Teva Pharmaceutical Industries Ltd,TEVA PHARMACEUTICAL INDUSTRIES LTD,TEVA,NYSE,US-LISTED (ADR),SEC company_tickers.json exact title match (ADR)
cephalon,Teva Pharmaceutical Industries Ltd,TEVA PHARMACEUTICAL INDUSTRIES LTD,TEVA,NYSE,US-LISTED (ADR),Cephalon acquired by Teva in 2011; parent is the listed issuer
salix pharms,Bausch Health Companies Inc.,Bausch Health Companies Inc.,BHC,NYSE,US-LISTED,Salix acquired by Valeant (now Bausch Health) in 2015
salix,Bausch Health Companies Inc.,Bausch Health Companies Inc.,BHC,NYSE,US-LISTED,Salix acquired by Valeant (now Bausch Health) in 2015
valeant pharms intl,Bausch Health Companies Inc.,Bausch Health Companies Inc.,BHC,NYSE,US-LISTED,Valeant renamed Bausch Health Companies in 2018
valeant pharms north,Bausch Health Companies Inc.,Bausch Health Companies Inc.,BHC,NYSE,US-LISTED,Valeant renamed Bausch Health Companies in 2018
biovail,Bausch Health Companies Inc.,Bausch Health Companies Inc.,BHC,NYSE,US-LISTED,Biovail merged with Valeant in 2010; renamed Bausch Health in 2018
biovail labs intl,Bausch Health Companies Inc.,Bausch Health Companies Inc.,BHC,NYSE,US-LISTED,Biovail merged with Valeant in 2010; renamed Bausch Health in 2018
schering,Merck & Co.,"Merck & Co., Inc.",MRK,NYSE,US-LISTED,Schering-Plough merged with Merck & Co. in 2009
merck,Merck & Co.,"Merck & Co., Inc.",MRK,NYSE,US-LISTED,SEC company_tickers.json exact title match
msd,Merck & Co.,"Merck & Co., Inc.",MRK,NYSE,US-LISTED,MSD is the ex-US trade name of Merck & Co.
msd sub merck,Merck & Co.,"Merck & Co., Inc.",MRK,NYSE,US-LISTED,MSD subsidiary of Merck & Co.
merck sharp dohme,Merck & Co.,"Merck & Co., Inc.",MRK,NYSE,US-LISTED,Merck Sharp & Dohme is the Merck & Co. operating subsidiary
amgen,Amgen Inc.,AMGEN INC,AMGN,NASDAQ,US-LISTED,SEC company_tickers.json exact title match
organon,Organon & Co.,Organon & Co.,OGN,NYSE,US-LISTED,SEC company_tickers.json exact title match
organon llc,Organon & Co.,Organon & Co.,OGN,NYSE,US-LISTED,SEC company_tickers.json exact title match
organon usa organon,Organon & Co.,Organon & Co.,OGN,NYSE,US-LISTED,SEC company_tickers.json exact title match
