company_name,ticker,drug_name,decision_type,decision_date,indication,review_pathway,stock_price_before,stock_price_after,pct_change,price_t1,pct_change_t1,price_data_status,company_success_rate_summary,company_score,company_score_grade,company_score_confidence,us_investable_class,fda_source_url,secondary_source_url,flags,verification_status
Scholar Rock Holding Corporation,SRRK,Isembyld (apitegromab-mstn),Approval,2026-09-11,Spinal muscular atrophy in adults and pediatric patients 2+ on an SMN2-targeted treatment,,55.67,,,,,Verified - incomplete (see notes),1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,,Verified - sponsor not yet in openFDA
AstraZeneca plc,AZN,Etcamah (camizestrant),Approval,2026-09-04,HR+/HER2- locally advanced or metastatic breast cancer upon detection of ESR1 mutation during AI + CDK4/6 therapy,,164.77,162.7,-1.26,160.04,-2.87,Verified,4/4 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),67.6,B,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220359,,Verified
"Ionis Pharmaceuticals, Inc.",IONS,Zanvastro (zilganersen),Approval,2026-09-03,Alexander disease in pediatric and adult patients,,61.33,58.13,-5.22,58.09,-5.28,Verified,3/3 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.2,C,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220210,,Verified
Takeda Pharmaceutical Company (US rights) / Protagonist Therapeutics (originator),PTGX,Mimrylo (rusfertide),Approval,2026-08-28,Erythrocytosis in polycythemia vera,Standard,154.32,149.5,-3.12,,,Verified,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),29.9,E,Low,US-LISTED,https://www.takeda.com/newsroom/newsreleases/2026/fda-approval-mimrylo/,https://www.accessnewswire.com/newsroom/en/healthcare-and-pharmaceutical/protagonist-therapeutics-announces-u.s.-fda-approval-of-hepcidin-mime-1214342,,Verified
Roivant Sciences / Priovant Therapeutics (subsidiary),ROIV,Lisraya (brepocitinib),Approval,2026-08-27,Dermatomyositis (adults),Priority,36.84,36.75,-0.24,,,Verified,2/2 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),54.5,C,Low,US-LISTED,https://allsci.com/news/approvals/lisraya-dermatomyositis-fda-approval-approves-as/,https://www.healio.com/news/dermatology/20260828/fda-approves-lisraya-as-first-oral-drug-for-dermatomyositis,,Verified
Revolution Medicines,RVMD,Rasonque (daraxonrasib),Approval,2026-08-26,Metastatic pancreatic adenocarcinoma,Standard,214.66,211.38,-1.53,,,Verified,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),29.9,E,Low,US-LISTED,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-daraxonrasib-metastatic-pancreatic-adenocarcinoma,https://www.globenewswire.com/news-release/2026/08/26/3351615/0/en/u-s-fda-approves-revolution-medicines-rasonque-daraxonrasib-the-first-broad-ras-targeted-medicine-in-metastatic-pancreatic-cancer.html,,Verified
"Regeneron Pharmaceuticals, Inc.",REGN,Pasatru (garetosmab-grts),Approval,2026-08-19,Reduce new heterotopic ossification and clinician-assessed flare-ups in adults with FOP,,810.24,840.84,3.78,826.64,2.02,Verified,3/3 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),79.7,B,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761508,,Verified
Bristol Myers Squibb Company,BMY,Zenbexus (iberdomide),Approval,2026-08-13,Multiple myeloma (with daratumumab/hyaluronidase-fihj + dexamethasone) after >=1 prior line,,63.7,64.65,1.49,63.83,0.20,Verified,5/5 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),76.4,B,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=221075,,Verified
"Lantheus Holdings, Inc.",LNTH,Tauklarify (florquinitau F 18),Approval,2026-08-13,PET imaging of the brain to identify tau neurofibrillary tangle pathology in adults being evaluated for Alzheimer disease,,100.73,100.94,0.21,100.95,0.22,Verified,3/3 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),50.3,C,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220496,,Verified
ITM Isotope Technologies / Lumara Bio USA (US agent),ITM.DE,Lutetium Lu-177 edotreotide,Complete Response Letter (Rejection),2026-08-07,Gastroenteropancreatic neuroendocrine tumors,,,,,,,Not yet matched to price snapshot,0/1 tracked programs approved; 0 advancing; 0 paused/on hold; 1 CRL(s),10.8,E,Low,,https://api.fda.gov/transparency/crl.json,https://open.fda.gov/apis/transparency/completeresponseletters/,,Verified - foreign listing only
