company_name,ticker,drug_name,decision_type,decision_date,indication,review_pathway,stock_price_before,stock_price_after,pct_change,price_t1,pct_change_t1,price_data_status,company_success_rate_summary,company_score,company_score_grade,company_score_confidence,us_investable_class,fda_source_url,secondary_source_url,flags,verification_status
Scholar Rock Holding Corporation,SRRK,Isembyld (apitegromab-mstn),Approval,2026-09-11,Spinal muscular atrophy in adults and pediatric patients 2+ on an SMN2-targeted treatment,,,,,,,Not yet matched to price snapshot,Not yet built - scorecard pending,53.9,C,Low,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,,Verified - sponsor not yet in openFDA
AstraZeneca plc,AZN,Etcamah (camizestrant),Approval,2026-09-04,HR+/HER2- locally advanced or metastatic breast cancer upon detection of ESR1 mutation during AI + CDK4/6 therapy,,,,,,,Not yet matched to price snapshot,Not yet built - scorecard pending,84.8,A,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220359,,Verified
"Ionis Pharmaceuticals, Inc.",IONS,Zanvastro (zilganersen),Approval,2026-09-03,Alexander disease in pediatric and adult patients,,,,,,,Not yet matched to price snapshot,Not yet built - scorecard pending,47.5,D,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220210,,Verified
Takeda Pharmaceutical Company (US rights) / Protagonist Therapeutics (originator),PTGX,Mimrylo (rusfertide),Approval,2026-08-28,Erythrocytosis in polycythemia vera,Standard,154.32,149.5,-3.12,,,Verified,Not yet built - scorecard pending,29.9,E,Low,US-LISTED,https://www.takeda.com/newsroom/newsreleases/2026/fda-approval-mimrylo/,https://www.accessnewswire.com/newsroom/en/healthcare-and-pharmaceutical/protagonist-therapeutics-announces-u.s.-fda-approval-of-hepcidin-mime-1214342,,Verified
Roivant Sciences / Priovant Therapeutics (subsidiary),ROIV,Lisraya (brepocitinib),Approval,2026-08-27,Dermatomyositis (adults),Priority,36.84,36.75,-0.24,,,Verified,Not yet built - scorecard pending,43.7,D,Low,US-LISTED,https://allsci.com/news/approvals/lisraya-dermatomyositis-fda-approval-approves-as/,https://www.healio.com/news/dermatology/20260828/fda-approves-lisraya-as-first-oral-drug-for-dermatomyositis,,Verified
Revolution Medicines,RVMD,Rasonque (daraxonrasib),Approval,2026-08-26,Metastatic pancreatic adenocarcinoma,Standard,214.66,211.38,-1.53,,,Verified,Not yet built - scorecard pending,29.9,E,Low,US-LISTED,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-daraxonrasib-metastatic-pancreatic-adenocarcinoma,https://www.globenewswire.com/news-release/2026/08/26/3351615/0/en/u-s-fda-approves-revolution-medicines-rasonque-daraxonrasib-the-first-broad-ras-targeted-medicine-in-metastatic-pancreatic-cancer.html,,Verified
"Regeneron Pharmaceuticals, Inc.",REGN,Pasatru (garetosmab-grts),Approval,2026-08-19,Reduce new heterotopic ossification and clinician-assessed flare-ups in adults with FOP,,,,,,,Not yet matched to price snapshot,Not yet built - scorecard pending,83.9,A,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761508,,Verified
Bristol Myers Squibb Company,BMY,Zenbexus (iberdomide),Approval,2026-08-13,Multiple myeloma (with daratumumab/hyaluronidase-fihj + dexamethasone) after >=1 prior line,,,,,,,Not yet matched to price snapshot,Not yet built - scorecard pending,62.3,C,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=221075,,Verified
"Lantheus Holdings, Inc.",LNTH,Tauklarify (florquinitau F 18),Approval,2026-08-13,PET imaging of the brain to identify tau neurofibrillary tangle pathology in adults being evaluated for Alzheimer disease,,,,,,,Not yet matched to price snapshot,Not yet built - scorecard pending,61.1,C,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220496,,Verified
ITM Isotope Technologies / Lumara Bio USA (US agent),ITM.DE,Lutetium Lu-177 edotreotide,Complete Response Letter (Rejection),2026-08-07,Gastroenteropancreatic neuroendocrine tumors,,,,,,,Not yet matched to price snapshot,Not yet built - scorecard pending,10.8,E,Low,,https://api.fda.gov/transparency/crl.json,https://open.fda.gov/apis/transparency/completeresponseletters/,,Verified - foreign listing only
